PCM1.P1.MAP,"(0.0, 250.0]","(250.0, 500.0]","(500.0, 750.0]","(750.0, 1000.0]","(1000.0, 1250.0]","(1250.0, 1500.0]","(1500.0, 1750.0]","(1750.0, 2000.0]","(2000.0, 2250.0]","(2250.0, 2500.0]","(2500.0, 2750.0]","(2750.0, 3000.0]","(3000.0, 3250.0]","(3250.0, 3500.0]","(3500.0, 3750.0]","(3750.0, 4000.0]","(4000.0, 4250.0]","(4250.0, 4500.0]","(4500.0, 4750.0]","(4750.0, 5000.0]","(5000.0, 5250.0]","(5250.0, 5500.0]","(5500.0, 5750.0]","(5750.0, 6000.0]","(6000.0, 6250.0]","(6250.0, 6500.0]","(6500.0, 6750.0]","(6750.0, 7000.0]","(7000.0, 7250.0]","(7250.0, 7500.0]","(7500.0, 7750.0]","(7750.0, 8000.0]","(8000.0, inf]"
"(33.993, 36.259]",0.91,0.91,0.91,0.91,0.91,0.92,0.93,0.94,0.95,0.96,0.99,1.03,1.07,1.09,1.11,1.13,1.12,1.12,1.12,1.11,1.11,1.11,1.09,1.07,1.06,1.05,1.04,1.04,1.0,0.98,0.96,0.95,0.95
"(31.727, 33.993]",0.91,0.91,0.91,0.91,0.9,0.91,0.91,0.92,0.93,0.95,0.98,1.02,1.05,1.07,1.08,1.1,1.1,1.1,1.1,1.1,1.09,1.09,1.07,1.06,1.05,1.04,1.03,1.02,0.99,0.97,0.96,0.95,0.95
"(29.461, 31.727]",0.91,0.91,0.91,0.91,0.9,0.9,0.91,0.92,0.92,0.94,0.96,0.99,1.03,1.05,1.06,1.08,1.08,1.08,1.08,1.08,1.08,1.07,1.06,1.05,1.04,1.03,1.02,1.0,0.98,0.97,0.96,0.95,0.95
"(27.195, 29.461]",0.93,0.93,0.93,0.93,0.92,0.92,0.93,0.94,0.94,0.96,0.98,1.02,1.05,1.06,1.07,1.09,1.09,1.09,1.1,1.09,1.09,1.09,1.08,1.07,1.06,1.05,1.03,1.02,1.0,0.99,0.98,0.97,0.97
"(24.928, 27.195]",0.93,0.93,0.93,0.93,0.92,0.92,0.93,0.94,0.94,0.96,0.99,1.03,1.05,1.07,1.09,1.1,1.1,1.1,1.1,1.1,1.09,1.08,1.07,1.06,1.05,1.03,1.02,1.02,1.03,1.0,0.99,0.97,0.97
"(22.662, 24.928]",0.93,0.93,0.93,0.93,0.92,0.92,0.93,0.94,0.94,0.96,0.99,1.03,1.06,1.08,1.1,1.12,1.12,1.11,1.1,1.1,1.1,1.09,1.08,1.07,1.06,1.05,1.03,1.03,1.05,1.02,0.99,0.97,0.97
"(20.396, 22.662]",0.93,0.93,0.93,0.93,0.92,0.92,0.93,0.94,0.94,0.97,1.0,1.05,1.07,1.09,1.11,1.13,1.13,1.12,1.11,1.1,1.1,1.09,1.071,1.117,1.091,1.06,1.05,1.05,1.06,1.03,1.0,0.97,0.97
"(18.13, 20.396]",0.93,0.93,0.93,0.93,0.92,0.92,0.93,0.94,0.94,0.97,1.0,1.05,1.08,1.1,1.12,1.13,1.15,1.13,1.12,1.11,1.049,1.055,1.044,1.067,1.08,1.07,1.06,1.06,1.07,1.03,1.0,0.97,0.97
"(15.864, 18.13]",0.93,0.92,0.92,0.92,0.91,0.92,0.93,0.93,0.93,0.96,1.0,1.05,1.07,1.09,1.12,1.13,1.14,1.13,1.053,1.044,1.054,1.026,1.047,1.08,1.07,1.06,1.05,1.06,1.06,1.03,1.0,0.97,0.97
"(13.597, 15.864]",0.93,0.92,0.92,0.92,0.91,0.91,0.92,0.93,0.93,0.96,0.99,1.03,1.06,1.09,1.11,1.13,1.14,1.13,1.033,1.1,1.0,1.015,1.08,1.018,1.06,1.05,1.05,1.05,1.05,1.02,0.99,0.97,0.97
"(11.332, 13.597]",0.93,0.92,0.92,0.91,0.9,0.91,0.92,0.93,0.93,0.96,0.99,1.02,1.05,1.08,1.11,1.13,1.14,1.034,1.11,0.987,0.984,1.08,0.959,1.06,1.05,1.05,1.03,1.03,1.03,1.02,0.99,0.97,0.97
"(9.067, 11.332]",0.92,0.91,0.91,0.9,0.89,0.9,0.91,0.92,0.92,0.94,0.97,1.0,1.04,1.06,1.09,1.12,1.026,1.003,1.09,0.972,1.07,0.931,0.919,0.886,0.905,1.02,1.0,1.0,1.02,0.99,0.98,0.96,0.96
